歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Reversal,ESQUARIA、,电子-Complextro、,动感、活力、,纯音乐,127,
プレジャー・トリップ,清水達也、,二次元-東方Project、,,,,
柳ニ風,流派未月亭、,二次元-同人作品、,平静、放松、,纯音乐,90,
eternity sky...,水夏える、,二次元-東方Project、流行、,可爱、快乐、放松、,纯音乐,104,
Power Hope (原题:明日ハレの日、ケの昨日),IRON ATTACK!、,二次元-同人作品、,热血、动感、,纯音乐,,
不可能弾幕には反則を,上海アリス幻樂団、,二次元-東方Project、,热血、动感、可爱、快乐、,纯音乐,157,
solar flare,発熱巫女~ず、,二次元-東方Project、,动感、可爱、快乐、,纯音乐,,
明けの霞月,Foxtail-Grass Studio、,二次元-同人作品、,动感、梦幻、可爱、快乐、放松、,纯音乐,95,
水鏡,群雨アンブレイラ、,二次元-東方Project、,热血、动感、可爱、快乐、,纯音乐,,
Thanks-厄神様-,ばんばんしー、,二次元-同人作品、,梦幻、放松、,纯音乐,89,
autumn road,ばんばんしー、,二次元-同人作品、,可爱、快乐、放松、,纯音乐,132,
MOONLIGHT (INSTRUMENTAL),羽鳥風画、,,放松、KTV、,纯音乐,,
MISOGI,oiko、,二次元-同人作品、,梦幻、可爱、快乐、放松、冥想、,纯音乐,85,
光と影の魔宝城,Mace's Secret Base、,二次元、,梦幻、放松、热血、动感、可爱、快乐、,纯音乐,,
緋色の雪/緋想天,N-tone、,二次元-同人作品、,可爱、快乐、放松、,纯音乐,98,
うたかたの风と蝉时雨,FELT、,二次元-同人作品、,平静、放松、,纯音乐,76,
阳炎の都、白日の租界　　(上海红茶馆~Chinese Tea),趣味工房にんじんわいん、,二次元-東方Project、,抒情、思念、放松、治愈、学习、,纯音乐,77,
Tragedy,Amateras Records、,二次元-同人作品、,,纯音乐,,
Rainbow starlight,Rigune、,,,,,
持衰の末裔,四面楚歌、,二次元-東方Project、,抒情、,,,
路地裏のセカイ,四面楚歌、,二次元-東方Project、,抒情、,纯音乐,,
ナイト・オブ・ナイツ,ビートまりお、,二次元、,活力、动感、洒脱、,纯音乐,89,
Saigetsu(ginkiha hardcore remix),ginkiha、,电子、,动感、可爱、快乐、活力、,纯音乐,86,
Baby Bottle,美有耳虚無頭、,二次元-同人作品、,可爱、快乐、放松、,纯音乐,113,
旅烏のメランコリー,豚乙女、,二次元-東方Project、,可爱、快乐、放松、,纯音乐,124,
869mi2,流派未階堂、,二次元-東方Project、轻音乐、,放松、,纯音乐,129,
泪苔,Foxtail-Grass Studio、,二次元-東方Project、,放松、,纯音乐,55,
過ぎ去る年は柔らかい幻想を運ぶ,上海アリス幻樂団、,二次元-同人作品、,梦幻、可爱、快乐、放松、,纯音乐,,
置き伞妖怪囃子,dBu music、,二次元-同人作品、,动感、活力、放松、,纯音乐,,
BULLET TRAIN 36 [INTRO],SOUND HOLIC、,二次元-東方Project、,,,,
Sakura time,TUMENECO、,二次元-同人作品、,,纯音乐,,
白冬,TUMENECO、,二次元-同人作品、,,纯音乐,,
涼夏,TUMENECO、,二次元-同人作品、,,,,
コンパクト@モバイル -LNB7 Remix- [ inst ],Aftergrow、,二次元-東方Project、,,,,
幽霊楽団 - Fantastic dream style Take2 -,S-STYLE、,轻音乐、,平静、梦幻、放松、,纯音乐,107,
少女綺想曲 ~Dream Battle,幻華楽、,二次元-同人作品、,悲伤、放松、治愈、孤独、,纯音乐,129,
驱魔棒棒糖（Cover ZUN）,Voyage21s、,流行、,可爱、快乐、放松、,,,
輝く針の小人族 ~ Little Princess,Pizuya's Cell、,二次元-同人作品、,热血、动感、,纯音乐,,
Ganba Reimu,魂音泉、,二次元-東方Project、,动感、可爱、快乐、,纯音乐,162,
Neverending Tea Party (Instrumental Version),Frozen Starfall、,二次元-同人作品、,,纯音乐,,
Weg der Freiheit (Instrumental Version),Frozen Starfall、,二次元-同人作品、,动感、快乐、活力、轻快、,,,
in confusion (instrumental),くさかべゆま、,二次元、,,纯音乐,,
Ruins,LiLA'c Records、,二次元、,,,,
錦上添花,Cerotte、,二次元、,快乐、可爱、热血、动感、,纯音乐,142,
今日ぞハレの日、われらが祭り,Forest306、,二次元-東方Project、,放松、冥想、,纯音乐,77,
月の雫・改,ししまいブラザーズ、,二次元-東方Project、,可爱、快乐、放松、,纯音乐,127,
武陵桃源(神々が恋した幻想郷 [东方风神録]),狐兎疋、,二次元-東方Project、,可爱、快乐、放松、,纯音乐,136,
Cattleya,Foxtail-Grass Studio、,二次元-東方Project、,梦幻、可爱、快乐、放松、,纯音乐,130,
ESCAPE,Babbe Music、,二次元-同人作品、,热血、动感、活力、,纯音乐,130,
LET ME BE YOUR STAR (Instrumental Version),Babbe Music、,二次元-同人作品、,,纯音乐,127,
LAST REMOTE (Babbe Remix Instrumental Version),Babbe Music、,二次元-同人作品、,热血、动感、放松、,纯音乐,,
INVISIBLE OBSERVER [Separate instrumental version],Babbe Music、,二次元-同人作品、,,纯音乐,,
At the Sacrifice,XL project、,二次元-東方Project、,,纯音乐,,
WILLOW SPARK!! -tks- Remix-,CrossGear、,二次元、,,纯音乐,,
Blowin' In The Wind,CrossGear、,二次元、,热血、动感、梦幻、放松、,纯音乐,,
Into the abyss,Maritumix、,电子、,动感、可爱、快乐、,纯音乐,136,
極月の憂色,K2 SOUND、,二次元-同人作品、,可爱、快乐、,纯音乐,,
感情の摩天楼,SPACELECTRO、,二次元-同人作品、,动感、活力、放松、,纯音乐,,
Your Eyes Only,Kissing the Mirror、魂音泉、,二次元-同人作品、,动感、冥想、,纯音乐,100,
Nostalgia,IZMIZM、,二次元、,,纯音乐,,
moon collider,ESQUARIA、,二次元-東方Project、,动感、可爱、快乐、,纯音乐,132,
white clear,Syrufit、,二次元-同人作品、,悲伤、抑郁、孤独、,纯音乐,127,
LaFrance!?,流派未階堂、,二次元-東方Project、轻音乐、,可爱、快乐、放松、,纯音乐,129,
Last Dancer,oiko、,二次元-同人作品、,放松、治愈、,纯音乐,90,
ひとしずく,きりん、,二次元-東方Project、,动感、可爱、快乐、,日语,152,
Reincarnation,ばんだいく、,二次元-東方Project、,,纯音乐,,
Reincarnation -inst version-,源屋、,流行、,,,,
几星霜の夜空(inst.),Amateras Records、,二次元-同人作品、,,纯音乐,,
淡明影炎,Tomoya、,流行、,,纯音乐,,
サヨナラの距離,Tomoya、,二次元-同人作品、,,,,
触れられない優しさ,ねろ、,二次元-同人作品、,,,,
燐とした憐れみ,溝口ゆうま、,二次元-同人作品、,,,,
Closed To You(inst.),Amateras Records、,二次元-同人作品、,,纯音乐,,
「ただいま」を、「おかえり」を (Instrumental),きりん(EastNewSound)、,二次元-同人作品、,,纯音乐,,
ミ・ダ・ラ☆フォーリンラブ,Amateras Records、,二次元-同人作品、,,纯音乐,,
akasha-assembly [Tracy Remix],Amateras Records、,二次元-同人作品、,,,,
Fly away,Rolling Contact、,二次元-東方Project、,,纯音乐,,
Desire,MK (JPN)、,二次元-東方Project、,,纯音乐,,
You're the love of my life...,EastNewSound、,二次元-同人作品、,动感、活力、,纯音乐,132,
Only 2 Words,Sound Online、,二次元-同人作品、,,,,
Desire for existence,群雨アンブレイラ、,二次元-同人作品、,放松、,纯音乐,84,
西行妖の春,Dust_Box_49、,二次元、,梦幻、放松、冥想、,纯音乐,77,
STAR GAZE,LiLA'c Records、,二次元、,,纯音乐,,
春眠暁を…,流派未月亭、,二次元-東方Project、,平静、放松、,纯音乐,99,
信仰の里返し,趣味工房にんじんわいん、,二次元-同人作品、,平静、放松、,纯音乐,68,
とおいよびごえ,凋叶棕、,二次元-東方Project、,悲伤、梦幻、放松、孤独、,纯音乐,86,
Dancing In The Moon Night [Instrumental],Eurobeat Union、,电子-欧陆节拍、,活力、热血、动感、快乐、,,,
真夏の妖精の夢,上海アリス幻樂団、,二次元-東方Project、,热血、动感、,纯音乐,166,
a rocket voyage to the moon,豚乙女、,二次元-東方Project、,平静、放松、,纯音乐,151,
プレインエイジア,君の美術館、,二次元-東方Project、,梦幻、放松、,纯音乐,96,
Insert Coin(s),凋叶棕、,二次元-東方Project、,悲伤、孤独、,纯音乐,139,
スクリーミング・インフェルノ (Instrumental) [with senya],幽閉サテライト、,二次元-東方Project、,,纯音乐,,
θで突き刺して(Instrumental) [with senya],幽閉サテライト、,二次元-東方Project、,,纯音乐,,
