歌名,歌手,曲风,推荐标签,语种,BPM,乐评
As Eddie Leaves the Building,Don Ross、,民谣、,清新、放松、,纯音乐,,
Song for a King,Daniel Padim、,新世纪、,放松、,纯音乐,95,
Tiny Sprout,伍々慧、,,悲伤、平静、放松、,纯音乐,182,
我的故事,陈亮、,,悲伤、放松、治愈、学习、,纯音乐,142,
The Sound Of Silence,Luca Stricagnoli、,摇滚-民谣摇滚、,放松、冥想、,英语,101,
The Scientist,Daniel Padim、,流行、,放松、,英语,160,
Mom Sweet Home,Daniel Padim、,流行、,抒情、放松、,英语,144,
sweet,苍小天、,,清新、快乐、爱情、放松、,纯音乐,117,
かたわれ時(黄昏之时),杨楚骁、,轻音乐、,悲伤、放松、,纯音乐,64,
Desert Island,西村ケント、,流行-日本流行、,悲伤、放松、孤独、,纯音乐,122,
一起走过的日子,苍小天、,轻音乐、,放松、冥想、,纯音乐,,
North Line,GIN、,轻音乐、,清新、快乐、放松、治愈、学习、助眠、轻快、,纯音乐,94,
Passage,GIN、,轻音乐、新世纪、,抒情、放松、冥想、,纯音乐,110,
Revolution（翻自 Conny Berghäll）,周键豪、,,可爱、快乐、放松、旅游、,纯音乐,94,
A Million Dreams (The Greatest Showman) [Fingerstyle],Daniel Padim、,原声带、,放松、治愈、,纯音乐,157,
迷雾路 Misty Road,姜星、,轻音乐、,平静、放松、,华语,,
恒星 Fixed Star,姜星、,轻音乐、,平静、放松、,华语,,
Daddy (Fingerstyle),Daniel Padim、,流行、,抒情、悲伤、,英语,64,
Mother,Antoine Dufour、,民谣、,动感、活力、,英语,,
Step Back,陈伟凯（Weekend Chan）、,,,,,
Drifting Away,Tobias Rauscher、,,放松、,英语,119,
繁星,孙培博、,流行、,抒情、放松、,纯音乐,126,
EDEN,押尾コータロー、,流行-日本流行、,抒情、平静、放松、,纯音乐,91,
フォトグラフ,押尾コータロー、,流行-日本流行、,放松、,纯音乐,111,
Song for a Rainy Morning,Tommy Emmanuel、,流行-成⼈时代、,清新、放松、,英语,181,
Sweet Home Alabama,Luca Stricagnoli、,摇滚-民谣摇滚、,梦幻、可爱、快乐、放松、,英语,90,
Flying with White Wings,Daniel Padim、,另类/独立、,放松、酒吧、,纯音乐,77,
NOW WE ARE FREE,Luca Stricagnoli、Meg Pfeiffer、,,抒情、悲伤、放松、治愈、,纯音乐,,
随着时光流逝,群星、,流行-华语流行、,,纯音乐,,
Falling Slowly (Acoustic Guitar Duet),Ulli Boegershausen、Agustín Amigó、,流行、,悲伤、放松、,纯音乐,,
It's Never Too Late,Tommy Emmanuel、,流行-成⼈时代、,,英语,,
青城山下白素贞,宋依凡（Ivan Song）、,流行、,抒情、动感、悲伤、平静、活力、放松、,纯音乐,137,
可爱如你,杨泽JD、,流行、,抒情、悲伤、平静、放松、,纯音乐,,
The Real Slim Shady,Luca Stricagnoli、,民谣、,动感、可爱、快乐、,英语,101,
Iron Maiden,Luca Stricagnoli、,民谣、,动感、梦幻、可爱、快乐、放松、,英语,152,
Wedding Bell,郑晟河、,,学习、放松、治愈、,纯音乐,133,
Etude,郑晟河、,,平静、放松、治愈、,纯音乐,171,
晨,刘嘉卓、,流行、,可爱、快乐、,纯音乐,120,
告白的雨夜,武言圣、,流行、轻音乐、,悲伤、放松、,纯音乐,75,
Jupiter,Will McNicol、,民谣、,,纯音乐,,
星罗云布,陈亮、,轻音乐、,抒情、平静、放松、,纯音乐,104,
Smile,GIN、,流行-器乐流行、,,纯音乐,103,
Brothers,Ed Gerhard、,,,,,
Bubu Car,陈伟凯（Weekend Chan）、,,,,,
Lose Yourself,Luca Stricagnoli、,,可爱、快乐、放松、,纯音乐,84,
Play for you,康硕Kenny、,轻音乐、,抒情、放松、学习、,纯音乐,178,
Drivetime,Tommy Emmanuel、,流行-成⼈时代、,清新、快乐、放松、,纯音乐,170,
For My Father,Andy McKee、,爵士、,,英语,,
Take Your Time,Alexandr Misko、Dmitriy Toporov、,,放松、,英语,99,
See you again,刘嘉卓、,流行、,悲伤、孤独、,纯音乐,76,
笑东风,杨昊昆、,,快乐、轻快、,纯音乐,98,
Moon Passing By,Ken Verheecke、,新世纪、,,纯音乐,,
Wider Than Words,Ken Verheecke、,新世纪、,,纯音乐,,
Kite,Ken Verheecke、,新世纪、,,纯音乐,,
Mountain Sunrise,Ken Verheecke、,新世纪、,,纯音乐,,
Yellow (Coldplay) [Fingerstyle],Daniel Padim、,,抒情、放松、治愈、,纯音乐,94,
逆行的人,成磊、,流行、,放松、抒情、,纯音乐,,
세월(Sewol)  세월호 추모곡,Youngso Kim、,轻音乐、,放松、平静、,纯音乐,,
모든 날 모든 순간,Youngso Kim、,,放松、平静、,纯音乐,68,
Memories,Youngso Kim、,,抒情、悲伤、放松、孤独、,纯音乐,76,
Something Just Like This Cover,Youngso Kim、,,可爱、快乐、放松、,纯音乐,112,
Anger,Okapi、,,可爱、快乐、放松、,纯音乐,61,
BLUE,Okapi、,,放松、,纯音乐,80,
Harmonics Got Crazy,Daniel Padim、,民谣、,抒情、,纯音乐,110,
恋するフォーチュンクッキー,DEPAPEKO、,,梦幻、放松、快乐、清新、,纯音乐,124,
老城旧梦（Dreams of the past）,杨昊昆、,,抒情、思念、,纯音乐,60,
枫叶城（The City of Maple Leaf ）,杨昊昆、,,抒情、快乐、轻快、,华语,54,
Every Now And Then,郑晟河、,轻音乐、,抒情、放松、旅游、,纯音乐,125,
Dawn's Embrace,Ken Verheecke、,轻音乐、,放松、冥想、,英语,176,
Daily Life,城直樹、,,清新、快乐、放松、KTV、,纯音乐,,
おしょうしな,下山亮平、,轻音乐、,抒情、放松、,纯音乐,,
Rain on Qingming Bridge,Will McNicol、,,学习、放松、冥想、平静、,纯音乐,,
Reeds on Taihu Lake,Will McNicol、,,,纯音乐,,
1時間,陈亮、宋依凡（Ivan Song）、,轻音乐、,清新、放松、,纯音乐,85,
Elan 指弹,陈亮、宋依凡（Ivan Song）、,轻音乐、,放松、,纯音乐,129,
海角八号,陈亮、,流行、,放松、治愈、,纯音乐,65,
