歌名,歌手,曲风,推荐标签,语种,BPM,乐评
特别的人,方大同、,节奏布鲁斯-当代节奏布鲁斯、流行-华语流行、,甜蜜、抒情、清新、幸福、悲伤、快乐、爱情、思念、浪漫、放松、憧憬、治愈、KTV、婚礼、,国语,69,
反对无效,MC 张天赋、,节奏布鲁斯、流行-粤语流行、,抒情、悲伤、KTV、,粤语,120,
再见,G.E.M.邓紫棋、,流行-华语流行、,抒情、,国语,136,
指纹,杜宣达、,流行-华语流行、,抒情、,国语,64,
不懂事,吴炳文、,流行-华语流行、,抒情、悲伤、爱情、思念、孤独、,国语,65,
删了吧,烟(许佳豪)、,流行-华语流行、,抒情、,国语,65,
Lost ,满舒克、Jony J、,嘻哈说唱-旋律说唱、,抒情、动感、悲伤、爱情、思念、慵懒、浪漫、苦情、放松、治愈、遗憾、,国语、英语,135,
到此为止,连诗雅、,流行-粤语流行、,,粤语,68,
Stay - Justin Bieber&The Kid Laroi(Acoustic Cover),政学(Zed-X)、,流行、,抒情、悲伤、爱情、放松、治愈、,英语,72,
红昭愿,音阙诗听、,国风-古风、,抒情、动感、快乐、爱情、思念、活力、放松、轻快、家务、通勤、,国语,114,
风吹过八千里,苏星婕、,流行、,抒情、悲伤、爱情、思念、浪漫、苦情、孤独、,国语,63,
罗生门（Follow）,梨冻紧、Wiz_H张子豪、,嘻哈说唱-流行说唱、嘻哈说唱-情绪说唱、,抒情、动感、悲伤、抑郁、快乐、爱情、思念、浪漫、苦情、放松、憧憬、治愈、孤独、酒吧、洒脱、亲情、遗憾、感人、,国语,64,
暗恋航空,官恩娜、,流行-粤语流行、,抒情、悲伤、,粤语,75,
我愿,阿虾、,民谣-华语民谣、,抒情、悲伤、爱情、孤独、酒吧、遗憾、,国语,119,
浪漫主义,姜云升、,嘻哈说唱-流行说唱、,抒情、动感、悲伤、爱情、思念、浪漫、苦情、酒吧、,国语,99,
心跳的证明,不是花火呀、,流行-华语流行、,甜蜜、抒情、清新、幸福、悲伤、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、孤独、KTV、轻快、,国语,86,
致你,yihuik苡慧、,流行-华语流行、,抒情、悲伤、快乐、爱情、思念、苦情、孤独、,国语,107,
戒烟,李荣浩、,流行-华语流行、,抒情、悲伤、思念、,国语,60,
黑夜问白天,林俊杰、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、放松、治愈、孤独、KTV、洒脱、,国语,67,
如果呢（女声版）,yihuik苡慧、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、苦情、憧憬、孤独、遗憾、感人、,国语,62,
九月底,余佳运、,节奏布鲁斯-当代节奏布鲁斯、流行-华语流行、,甜蜜、抒情、清新、幸福、紧张、悲伤、平静、梦幻、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、孤独、KTV、轻快、遗憾、感人、,国语,66,
观潮,苏世超、RITA、,嘻哈说唱、,抒情、悲伤、爱情、思念、夜店、,国语,78,
特别的人,Chanlex、,流行-华语流行、,抒情、悲伤、爱情、浪漫、KTV、酒吧、,国语,69,
时光洪流,程响、,流行-华语流行、,抒情、,国语,63,
必杀技,Ecrolyn、,流行-粤语流行、,抒情、,粤语,68,
还是分开,张叶蕾、,流行-华语流行、,抒情、悲伤、抑郁、爱情、思念、苦情、放松、孤独、KTV、洒脱、遗憾、感人、,国语,67,
将故事写成我们,林俊杰、,流行-华语流行、,抒情、悲伤、思念、,国语,67,
爱与诚,古巨基、,流行-粤语流行、,抒情、悲伤、孤独、,粤语,66,
某年某月某天,颜人中、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、苦情、憧憬、孤独、遗憾、感人、,国语,77,
山楂树之恋,程佳佳、,嘻哈说唱-流行说唱、,甜蜜、抒情、清新、动感、幸福、紧张、悲伤、平静、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、孤独、轻快、,国语,78,
