歌名,歌手,曲风,推荐标签,语种,BPM,乐评
El Gento,Joe Pass、,爵士-比波普、爵士-巴萨诺瓦、,清新、爱情、浪漫、放松、,纯音乐,,
But Beautiful,Cyrus Chestnut、,爵士-比波普、爵士-硬波普、,爱情、慵懒、浪漫、放松、咖啡厅、,,,
Naima (2020 Remaster),John Coltrane、,爵士、,放松、咖啡厅、,纯音乐,114,
II. Romanze. Andante non troppo con grazia,Luisa Imorde、,古典、,抒情、平静、思念、放松、学习、,纯音乐,53,
"Piano Concerto No.2 In C Minor, Op.18:1. Moderato",Sviatoslav Richter、Stanislaw Wislocki、Warsaw National Philharmonic Orchestra、,古典-浪漫主义音乐、,放松、,纯音乐,103,
"Piano Sonata No.14 in C sharp minor, Op.27 No.2 -""Moonlight"":1. Adagio sostenuto",Alfred Brendel、,古典-古典主义音乐、,冥想、平静、放松、,纯音乐,69,
"Piano Concerto No.20 in D minor, K.466:2. Romance",Rudolf Serkin、London Symphony Orchestra、Claudio Abbado、,古典-古典主义音乐、,平静、梦幻、放松、,纯音乐,88,
"Nocturne No. 2 in E Flat Major, Op. 9, No. 2",Arthur Rubinstein、,古典-浪漫主义音乐、,,纯音乐,132,
"Pavane pour une infante défunte, M. 19 (Arr. for Violin and Piano by Louis Fleury)",Manon Galy、Jorge Gonzalez Buajasan、,古典、,平静、放松、学习、,,122,
"Préludes, Livre 1, CD 125: VI. Des pas sur la neige. Triste et lent",Javier Perianes、,古典、,平静、放松、学习、冥想、,英语,71,
6 Consolations S. 172:No. 3 In D Flat Major (Lento placido),Daniel Barenboim、,古典、,平静、放松、冥想、,纯音乐,80,
"Schubert - Schwanengesang, S560/R245: Schwanengesang, D. 957: No. 4. Standchen (Leise flehen meine Lieder) (arr. Liszt)",Peter Nagy、,古典-浪漫主义音乐、古典-二十世纪音乐、,学习、平静、放松、冥想、,纯音乐,133,
"Trio Sonata No. 1 in E-Flat Major, BWV 525:I. (Allegro moderato) (Transcr. Kurtág)",Víkingur Ólafsson、Halla Oddný Magnúsdóttir、Johann Sebastian Bach、,古典、,平静、放松、,纯音乐,105,
"Les saisons (The Seasons), Op. 37b:No. 6. June: Barcarolle",Ilona Prunyi、,古典、,,纯音乐,157,
"Piano Sonata No. 4 in E-Flat Major, K. 282:I. Adagio",Mao Fujita、,古典-古典主义音乐、,平静、放松、冥想、,纯音乐,101,
"Kinderszenen, Op.15:7. Träumerei",Vladimir Horowitz、,古典-浪漫主义音乐、,平静、放松、,纯音乐,133,
Ave María (Arr. Víkingur Ólafsson),Víkingur Ólafsson、Sigvaldi Kaldalóns、,古典、,平静、放松、冥想、,纯音乐,65,
Menuet D major,Wolfgang Amadeus Mozart、,古典-古典主义音乐、,抒情、快乐、放松、舞会、轻快、正能量、,纯音乐,109,
"Debussy: Preludes for Piano, Book I: La Fille aux cheveux de lin",Paul Jacobs、,古典、,梦幻、放松、平静、冥想、,纯音乐,130,
Piano Sonata No.20 in A D.959:2. Andantino (Live In Snape / 1999),Alfred Brendel、,古典、,平静、放松、学习、,纯音乐,145,
"4 Klavierstücke, Op. 119: No. 1, Intermezzo in B Minor",Jeremy Denk、,古典、,平静、放松、学习、冥想、,,133,
"Pavane, Op. 50",William Goodchild、John Williams、Gabriel Fauré、,原声带、古典-浪漫主义音乐、,平静、放松、,纯音乐,151,
"The Well-Tempered Clavier, Book 1, BWV 846-869: I. Prelude and Fugue in C Major, BWV 846",Jeno Jando、,古典-巴洛克音乐、,动感、平静、放松、冥想、,纯音乐,113,
"Préludes / Book 2, L. 123:5. Bruyères",Víkingur Ólafsson、Claude Debussy、,古典、,平静、放松、冥想、,纯音乐,81,
Gnossiennes:1. Lent,Alice Sara Ott、,古典-印象主义音乐、,平静、放松、冥想、,纯音乐,133,
"Piano Concerto in G Major, M. 83:2. Adagio assai",Martha Argerich、Berliner Philharmoniker、Claudio Abbado、,古典-浪漫主义音乐、,平静、放松、学习、冥想、,纯音乐,151,
"Prelude & Fugue No. 2 in C Minor, BWV 847:Prelude",Glenn Gould、,古典-巴洛克音乐、,动感、快乐、放松、,纯音乐,78,
"Rêverie, L.68",Pascal Rogé、,古典、,抒情、思念、,纯音乐,87,
"Concerto in D Minor after Marcello, BWV 974:I. [Without Tempo Indication]",Glenn Gould、,古典、,可爱、快乐、放松、,,95,
"Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": I. Grave - Allegro di molto e con brio",Arthur Rubinstein、,古典-古典主义音乐、,平静、放松、,纯音乐,139,
