歌名,歌手,曲风,推荐标签,语种,BPM,乐评
"Dolly, Op. 56:1. Berceuse",Katia Labeque、Marielle Labèque、,古典、,平静、放松、冥想、,欧美,121,
"Rêverie, L. 68:Rêverie",Jean-yves Thibaudet、Claude Debussy、,古典、,平静、放松、冥想、,纯音乐,117,
Sheep May Safely Graze,Leon Fleisher、,古典、,平静、放松、学习、冥想、,,99,
"The Gadfly (Suite), Op. 97a: No. 8, Romance (Arr. for Violin and Piano)",Tasmin Little、,古典、,学习、平静、放松、悲伤、,纯音乐,,
Conversation,Muni Long、,节奏布鲁斯、,动感、放松、,英语,105,
Love On Top,Beyoncé、,节奏布鲁斯-灵魂乐、节奏布鲁斯-当代节奏布鲁斯、,甜蜜、动感、快乐、爱情、浪漫、活力、KTV、婚礼、极限运动、,英语,94,
No Pressure,edbl、Miller Blue、,节奏布鲁斯-灵魂乐、,放松、,英语,110,
Come Through,H.E.R.、Chris Brown、,节奏布鲁斯-当代节奏布鲁斯、,动感、,英语,68,
Perfect,Otis Kane、,节奏布鲁斯、,慵懒、放松、动感、,英语,89,
Obvious,Jesse Barrera、Jeremy Passion、Gabe Bondoc、,节奏布鲁斯-灵魂乐、,抒情、清新、动感、幸福、平静、快乐、爱情、思念、慵懒、浪漫、活力、放松、憧憬、治愈、轻快、洒脱、正能量、,英语,75,
Sunday,Nyah Grace、,节奏布鲁斯-新灵魂乐、,动感、慵懒、放松、,英语,71,
NOT TOO DEEP,India Shawn、6LACK、,节奏布鲁斯-另类节奏布鲁斯、,动感、爱情、浪漫、放松、,英语,52,
Fashion,Jacob Latimore、,节奏布鲁斯、,动感、慵懒、放松、,英语,,
1894,Amber Mark、,节奏布鲁斯、,大气、洒脱、,英语,,
HMU,Sevyn Streeter、,节奏布鲁斯-灵魂乐、,抒情、动感、放松、咖啡厅、,英语,81,
Love Again,BAEKHYUN、,节奏布鲁斯、,抒情、动感、放松、,韩语,95,
Anything For You (The Duet),Ledisi、PJ Morton、,节奏布鲁斯-灵魂乐、,浪漫、爱情、动感、慵懒、放松、,英语,66,
I Got It,Ogi、,节奏布鲁斯、,动感、,英语,69,
COFFEE,Kelly Rowland、,节奏布鲁斯-另类节奏布鲁斯、,动感、慵懒、放松、,英语,120,
LALA (Unlocked),Alicia Keys、Swae Lee、,节奏布鲁斯、,动感、慵懒、放松、,英语,69,
No Sleep (Giuseppe),Justine Skye、,节奏布鲁斯、,快乐、轻快、,英语,115,
In These Eyes,TaniA Kyllikki、Rynellton、,节奏布鲁斯、,动感、活力、,英语,90,
Like I Want You,Giveon、,节奏布鲁斯、,动感、放松、,英语,120,
Banger,11:11、,节奏布鲁斯、,活力、动感、,英语,,
Two Ways,Trey Songz、,节奏布鲁斯-另类节奏布鲁斯、,动感、爱情、浪漫、酒吧、,英语,80,
