歌名,歌手,曲风,推荐标签,语种,BPM,乐评
You&I,金钟万、,原声带、,清新、快乐、放松、轻快、,韩语,64,
이순간을 믿을게,gugudan、,原声带、,热血、动感、,韩语,117,
Wishes,Jamie Miller、,原声带-电视剧原声、,酒吧、抒情、,韩语,72,
너의 하루는 좀 어때,Gummy、,原声带-电视剧原声、流行-韩国抒情歌曲、,抒情、悲伤、孤独、KTV、,韩语,,
드림,脸红的思春期、,原声带、,悲伤、可爱、快乐、,韩语,92,
곁에 있어준다면,成始璄、,原声带-电视剧原声、,KTV、抒情、悲伤、治愈、放松、,韩语,145,
내 목소리 들리니,Ben、,流行-韩国流行、,抒情、悲伤、KTV、,韩语,140,
사르르쿵,CHEEZE、,原声带-电视剧原声、,幸福、快乐、,韩语,89,
Red Light,J.DON、,原声带-电视剧原声、流行-韩国流行、,爱情、抒情、,韩语,99,
마음주의보,温流、,原声带-电视剧原声、,抒情、悲伤、孤独、,韩语,127,
자꾸 더 보고싶은 사람,Mamamoo、,原声带-电视剧原声、,放松、,韩语,137,
독 안에 든 쥐,Giriboy、,原声带-电视剧原声、流行-韩国流行、嘻哈说唱-韩语说唱、,动感、活力、,韩语,82,
봄의 멜로디,Sondia、,原声带-电视剧原声、,清新、放松、KTV、,韩语,128,
Blooming Story,Tearliner、조해진、,原声带、流行-韩国流行、,抒情、悲伤、放松、,韩语,78,
Falling Again,KLANG、,原声带、流行-韩国流行、,可爱、快乐、爱情、慵懒、浪漫、放松、,英语,80,
봄봄봄,Punch、,原声带-电视剧原声、,放松、治愈、,韩语,94,
나의 오월,郭真言、,原声带-电视剧原声、,抒情、酒吧、,韩语,151,
네가 나의 기적인 것처럼,郑世云、,原声带-电视剧原声、流行、,抒情、,韩语,113,
너라는 꿈,河成云、,原声带-电视剧原声、流行、,抒情、放松、,韩语,63,
Looking Your Eyes,任夏永、,原声带-电视剧原声、,放松、冥想、,英语,70,
Dive into you,JAY B、,原声带-电视剧原声、流行-韩国流行、,抒情、放松、,韩语,80,
함께 할 수 있기를,이준형、,原声带-电视剧原声、流行-韩国抒情歌曲、,抒情、,韩语,67,
나의 봄은,李秀贤、,原声带-电视剧原声、,抒情、放松、治愈、酒吧、,韩语,61,
"그렇게 넌 나의 비밀이 되었고(My secret, My everything)",Sondia、Vincent Blue、,原声带-电视剧原声、,抒情、悲伤、爱情、放松、治愈、,韩语,84,
출국(Departure from a Country),圭贤、,原声带-电视剧原声、,抒情、爱情、,韩语,68,
나인가요,BAEKHYUN、,原声带-电视剧原声、流行、,KTV、抒情、悲伤、治愈、放松、,韩语,67,
지금을 사랑해,Stella Jang、,原声带-电视剧原声、民谣、,放松、抒情、,韩语,84,
Call me a Freak,SUHO、,原声带-电影原声、原声带-电视剧原声、流行、,快乐、可爱、动感、,韩语,82,
Blue,Hoody、,节奏布鲁斯-灵魂乐、,抒情、动感、悲伤、平静、放松、遗憾、,英语、韩语,141,
휴게소,"Car,The Garden、",流行-韩国流行、,清新、放松、,韩语,125,
Come Together,OMEGA X、,原声带-电影原声、,动感、活力、,韩语,80,
쉬어가도 돼,OMEGA X、,原声带-电影原声、,KTV、悲伤、抒情、孤独、,韩语,65,
너를 다시,OMEGA X、,原声带-电影原声、,KTV、抒情、悲伤、孤独、,韩语,68,
Time's Up,하진 (HAJIN)、,原声带-电视剧原声、,放松、治愈、,英语,143,
Fallen for U,攻灿、,原声带-电影原声、原声带-电视剧原声、,放松、,韩语,98,
Beautiful day,차서원、,原声带-电视剧原声、,抒情、悲伤、,韩语,64,
기억해줘요 내 모든 날과 그때를,Gummy、,原声带、,KTV、抒情、悲伤、孤独、,韩语,68,
DOOR (Your Moon),郑世云、,原声带-电视剧原声、流行-韩国流行、,抒情、放松、,韩语,61,
冬日如梦,郭真言、,原声带-电视剧原声、流行、,治愈、放松、清新、,韩语,81,
너에 대하여（About You）,Paul Kim、,原声带-电视剧原声、流行-韩国抒情歌曲、,抒情、悲伤、孤独、,韩语,107,
Fall in Love,郑世云、,原声带-电视剧原声、,抒情、悲伤、孤独、,韩语,133,
두근두근,金请夏、,原声带、流行-韩国流行、,清新、幸福、可爱、快乐、爱情、浪漫、放松、KTV、,韩语,82,
나의 오늘이 너의 오늘을 만나,JOO YOUNG、,原声带-电视剧原声、,抒情、放松、,韩语,68,
또한번 사랑해,Dear Cloud、,原声带、流行、,抒情、悲伤、孤独、遗憾、,韩语,65,
Good Night,김푸름、,流行、,抒情、放松、,韩语,117,
一整天,圭贤、,原声带-电视剧原声、流行、,抒情、KTV、悲伤、,韩语,68,
우린 이미,KIMMUSEUM、,原声带-电视剧原声、,抒情、悲伤、思念、,韩语,90,
Something In The Rain,Rachael Yamagata、,流行-欧美流行、,抒情、悲伤、放松、治愈、,韩语,72,
나의 유일한 너에게,XIUMIN、,原声带-电视剧原声、流行-韩国流行、,悲伤、爱情、抒情、思念、,韩语,67,
My friend,nafla、,原声带、流行-韩国流行、嘻哈说唱-韩语说唱、,活力、动感、热血、,韩语,54,
Here I am,赵贤雅、,原声带-电视剧原声、流行-韩国流行、,抒情、爱情、思念、,韩语,61,
Electric Shock,f(x)、,电子-电子舞曲、,热血、动感、活力、,韩语,124,
NU 예삐오 (NU ABO),f(x)、,流行-韩国流行、,热血、动感、活力、有氧、,韩语,95,
冰激凌,f(x)、,流行-韩国流行、,动感、快乐、活力、,韩语,127,
ME+U,f(x)、,流行-韩国流行、,动感、可爱、快乐、,韩语,122,
Surprise Party,f(x)、,流行-韩国流行、,动感、幸福、快乐、,韩语,92,
Sorry (Dear. Daddy),f(x)、,流行-韩国流行、,抒情、悲伤、,韩语,86,
Beast Is The B2ST,Beast、,流行-韩国流行、,动感、,韩语,,
Bad Girl,Beast、,流行-韩国流行、,动感、活力、,韩语,125,
